batch	file	name	app_files	test_files	eval_files	hit_lines	classification
batch6c	backend/app/services/agent/tools/route/prepare_route_options.py	_rebuild_selected_aggregate	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/prepare_route_persistence.py	_prepared_candidate_result	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/prepare_route_persistence.py	_provider_match_id	1	0	0	3	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/prepare_route_persistence.py	_resolved_place_match_key	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/prepare_route_persistence.py	_dict_place_match_key	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/prepare_route_persistence.py	_digest_for_candidate	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/prepare_route_persistence.py	_digest_soft_preferences	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/prepare_route_persistence.py	_snapshot_route_identity	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/prepare_route_persistence.py	_snapshot_route_evidence	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/prepare_route_persistence.py	_bind_active_trip	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/prepare_route_persistence.py	_bind_destination_discovery	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/prepare_route_persistence.py	_public_branch_row	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/prepare_route_persistence.py	_public_text	1	0	0	5	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/prepare_route_persistence.py	_public_stage_a_row	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/present_route.py	_present_fresh_route	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/present_route.py	_replay_route_goal	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/present_route.py	_selected_candidate_id	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/present_route.py	_selection_correction_error	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/present_route.py	_incident_metadata	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/present_route.py	_parsed_reason_code	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/present_route_commit.py	_bind_presented_route	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/present_route_commit.py	_bind_what_if_route	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/present_route_commit.py	_opaque_discovery_place_ids	1	0	0	3	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/present_route_commit.py	_owned_place_id	1	0	0	3	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/present_route_state.py	_canonical_owned_fields	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/present_route_state.py	_unsatisfied_constraint_error	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/present_route_state.py	_owned_endpoint_places	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/present_route_state.py	_has_selected_score	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/present_route_state.py	_opaque_id_set	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/present_route_state.py	_candidate_destination_ids	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/present_route_state.py	_branch_place_ids	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/present_route_state.py	_presentation_identity	2	0	0	4	multi-caller
batch6c	backend/app/services/agent/tools/route/present_route_state.py	_candidate_set_ownership_error	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/present_route_state.py	_candidate_membership_error	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/present_route_state.py	_parsed_chosen_route	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/present_route_state.py	_legacy_candidate_evidence	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/present_route_state.py	_event_impacts_for_index	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/route_input.py	_merged_destination	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/route_input.py	_merged_waypoints	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/route_input.py	_routing_preference	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/route_input.py	_turn_or_persisted_source	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/route_input.py	_merged_accessibility_required	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/route_projection.py	_pattern_matches_headsign	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/route_projection.py	_catchable_offset_seconds	0	0	0	0	delete-candidate
batch6c	backend/app/services/agent/tools/route/route_projection.py	_first_transit_index	0	0	0	0	delete-candidate
batch6c	backend/app/services/agent/tools/route/route_projection.py	_itinerary_component_totals	0	0	0	0	delete-candidate
batch6c	backend/app/services/agent/tools/route/route_projection.py	_leg_seconds	0	0	0	0	delete-candidate
batch6c	backend/app/services/agent/tools/route/route_projection.py	_stamp_reconciled_clocks	0	0	0	0	delete-candidate
batch6b	backend/app/services/trips/candidates.py	_parse_family_step	1	0	0	2	inline-candidate-or-same-file
batch6b	backend/app/services/trips/crowds/event.py	_parse_step_route_point	1	0	0	2	inline-candidate-or-same-file
batch6b	backend/app/services/trips/crowds/event.py	_select_step_route_points	1	0	0	2	inline-candidate-or-same-file
batch6b	backend/app/services/trips/crowds/event.py	_select_closer_impact	1	0	0	2	inline-candidate-or-same-file
batch6b	backend/app/services/trips/crowds/event.py	_select_unique_route_points	1	0	0	2	inline-candidate-or-same-file
batch6b	backend/app/services/trips/crowds/event.py	_select_secondary_hubs	1	0	0	2	inline-candidate-or-same-file
batch6b	backend/app/services/trips/crowds/event.py	search_hubs	2	2	0	6	public
batch6b	backend/app/services/trips/crowds/event.py	_parse_hub_lookup	1	0	0	2	inline-candidate-or-same-file
batch6b	backend/app/services/trips/crowds/event_provider.py	_parse_aware_iso	1	0	0	2	inline-candidate-or-same-file
batch6b	backend/app/services/trips/crowds/event_provider.py	_parse_local_event_start	1	0	0	2	inline-candidate-or-same-file
batch6b	backend/app/services/trips/crowds/event_provider.py	_event_start_iso	1	0	0	2	inline-candidate-or-same-file
batch6b	backend/app/services/trips/crowds/event_provider.py	_select_event_venue	1	0	0	2	inline-candidate-or-same-file
